URL_Checked,Type,HTTP_Status,Source_Page,CheckedAt
https://tll-next.vercel.app/,InternalLink,200,,2025-11-30T20:02:31.433395+03:30
https://tll-next.vercel.app/assets/logo/Logo-White.svg,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:32.456858+03:30
https://tll-next.vercel.app/testimonials,InternalLink,200,https://tll-next.vercel.app/,2025-11-30T20:02:33.380414+03:30
https://tll-next.vercel.app/faq,InternalLink,200,https://tll-next.vercel.app/,2025-11-30T20:02:34.402911+03:30
https://tll-next.vercel.app/resources?category=resources,InternalLink,200,https://tll-next.vercel.app/,2025-11-30T20:02:35.558637+03:30
tel:(714) 877 5840,ExternalLink,0,https://tll-next.vercel.app/,2025-11-30T20:02:36.159208+03:30
https://tll-next.vercel.app/_next/image?url=%2Fassets%2Fhero%2Fbg.png&w=3840&q=75,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:38.088817+03:30
https://www.google.com/search?q=Law+Office+of+Tuan+Le+reviews,ExternalLink,200,https://tll-next.vercel.app/,2025-11-30T20:02:40.670793+03:30
https://tll-next.vercel.app/resources/how-to-prepare-strong-immigration-application-tips,InternalLink,200,https://tll-next.vercel.app/,2025-11-30T20:02:40.882809+03:30
https://tll-next.vercel.app/_next/image?url=%2Fassets%2Fcertifications%2Fcertification-image.png&w=828&q=75,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:41.924487+03:30
https://tll-next.vercel.app/assets/certifications/logo-1.svg,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:44.029261+03:30
https://tll-next.vercel.app/assets/certifications/logo-2.svg,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:45.215994+03:30
https://tll-next.vercel.app/assets/certifications/logo-3.svg,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:46.283356+03:30
https://tll-next.vercel.app/_next/image?url=%2Fassets%2Fabout%2Fabout_img_consult.png&w=750&q=75,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:47.305836+03:30
https://tll-next.vercel.app/_next/image?url=%2Fassets%2Fabout%2Fabout_img_Tuan.png&w=750&q=75,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:48.636416+03:30
https://tll-next.vercel.app/resources,InternalLink,200,https://tll-next.vercel.app/,2025-11-30T20:02:49.967666+03:30
https://tll-next.vercel.app/_next/image?url=https%3A%2F%2Ftuanlelaw.s3.us-east-1.amazonaws.com%2Ffiles%2Fshares%2FBlogImage%2Fasylum-seekers-1200x775.webp&w=3840&q=75,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:51.0549+03:30
https://tll-next.vercel.app/asylum-humanitarian-relief/asylum/asylum-seekers-rights-and-challenges,InternalLink,200,https://tll-next.vercel.app/,2025-11-30T20:02:51.992809+03:30
https://tll-next.vercel.app/_next/image?url=https%3A%2F%2Ftuanlelaw.s3.us-east-1.amazonaws.com%2Ffiles%2Fshares%2FBlogImage%2FImmigration-Orange.webp&w=3840&q=75,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:53.142393+03:30
https://tll-next.vercel.app/deportation-defense/removal-proceedings,InternalLink,200,https://tll-next.vercel.app/,2025-11-30T20:02:54.473905+03:30
https://tll-next.vercel.app/_next/image?url=https%3A%2F%2Ftuanlelaw.s3.us-east-1.amazonaws.com%2Ffiles%2Fshares%2Fnews%2F3879511-1200x800.webp&w=3840&q=75,Image,200,https://tll-next.vercel.app/,2025-11-30T20:02:55.48574+03:30
https://tll-next.vercel.app/resources/a-path-to-legalization-for-undocumented-immigrants,InternalLink,200,https://tll-next.vercel.app/,2025-11-30T20:02:56.488844+03:30
